year_month,product,price,category
202009,莲藕,7.09,蔬菜
202009,韭菜,4.20,蔬菜
202009,大蒜,6.47,蔬菜
202009,菠菜,7.41,蔬菜
202009,胡萝卜,2.72,蔬菜
202009,洋白菜,2.57,蔬菜
202009,茄子,3.75,蔬菜
202009,芹菜,4.29,蔬菜
202009,平菇,8.51,蔬菜
202009,香菇,11.78,蔬菜
202009,豆角,6.34,蔬菜
202009,西红柿,4.12,蔬菜
202009,生姜,12.89,蔬菜
202009,西葫芦,3.36,蔬菜
202009,白萝卜,2.25,蔬菜
202009,油菜,3.91,蔬菜
202009,蒜苔,6.51,蔬菜
202009,生菜,5.02,蔬菜
202009,南瓜,2.17,蔬菜
202009,大白菜,2.27,蔬菜
202009,土豆,2.20,蔬菜
202009,大葱,3.65,蔬菜
202009,冬瓜,1.58,蔬菜
202009,莴笋,4.23,蔬菜
202009,菜花,4.37,蔬菜
202009,葱头,1.83,蔬菜
202009,黄瓜,3.76,蔬菜
202009,青椒,4.20,蔬菜
202010,莲藕,6.70,蔬菜
202010,韭菜,4.08,蔬菜
202010,大蒜,6.59,蔬菜
202010,菠菜,5.28,蔬菜
202010,胡萝卜,2.50,蔬菜
202010,洋白菜,2.21,蔬菜
202010,茄子,3.64,蔬菜
202010,芹菜,4.13,蔬菜
202010,平菇,7.69,蔬菜
202010,香菇,11.62,蔬菜
202010,豆角,6.48,蔬菜
202010,西红柿,4.69,蔬菜
202010,生姜,14.25,蔬菜
202010,西葫芦,3.07,蔬菜
202010,白萝卜,2.03,蔬菜
202010,油菜,3.02,蔬菜
202010,蒜苔,6.82,蔬菜
202010,生菜,4.33,蔬菜
202010,南瓜,2.32,蔬菜
202010,大白菜,1.76,蔬菜
202010,土豆,2.12,蔬菜
202010,大葱,4.03,蔬菜
202010,冬瓜,1.73,蔬菜
202010,莴笋,4.09,蔬菜
202010,菜花,4.11,蔬菜
202010,葱头,2.07,蔬菜
202010,黄瓜,3.76,蔬菜
202010,青椒,4.80,蔬菜
202011,莲藕,6.37,蔬菜
202011,韭菜,4.54,蔬菜
202011,大蒜,6.70,蔬菜
202011,菠菜,3.88,蔬菜
202011,胡萝卜,2.42,蔬菜
202011,洋白菜,2.19,蔬菜
202011,茄子,3.93,蔬菜
202011,芹菜,3.52,蔬菜
202011,平菇,6.31,蔬菜
202011,香菇,11.33,蔬菜
202011,豆角,6.69,蔬菜
202011,西红柿,4.34,蔬菜
202011,生姜,14.02,蔬菜
202011,西葫芦,3.05,蔬菜
202011,白萝卜,1.83,蔬菜
202011,油菜,2.70,蔬菜
202011,蒜苔,7.21,蔬菜
202011,生菜,3.87,蔬菜
202011,南瓜,2.75,蔬菜
202011,大白菜,1.40,蔬菜
202011,土豆,2.20,蔬菜
202011,大葱,4.56,蔬菜
202011,冬瓜,1.99,蔬菜
202011,莴笋,3.20,蔬菜
202011,菜花,3.48,蔬菜
202011,葱头,2.26,蔬菜
202011,黄瓜,3.73,蔬菜
202011,青椒,4.83,蔬菜
202006,牛肉,70.93,畜禽产品
202006,羊肉,67.65,畜禽产品
202006,白条鸡,16.49,畜禽产品
202006,鸡蛋,6.40,畜禽产品
202006,猪肉,44.64,畜禽产品
202007,牛肉,71.79,畜禽产品
202007,羊肉,68.84,畜禽产品
202007,白条鸡,16.08,畜禽产品
202007,鸡蛋,6.83,畜禽产品
202007,猪肉,48,畜禽产品
202008,牛肉,73.31,畜禽产品
202008,羊肉,70.52,畜禽产品
202008,白条鸡,16.32,畜禽产品
202008,鸡蛋,8.14,畜禽产品
202008,猪肉,48.36,畜禽产品
202009,牛肉,74.81,畜禽产品
202009,羊肉,70.44,畜禽产品
202009,白条鸡,16.41,畜禽产品
202009,鸡蛋,8.34,畜禽产品
202009,猪肉,47.38,畜禽产品
202010,牛肉,75.25,畜禽产品
202010,羊肉,69.71,畜禽产品
202010,白条鸡,16.13,畜禽产品
202010,鸡蛋,7.95,畜禽产品
202010,猪肉,42.57,畜禽产品
202011,牛肉,75.67,畜禽产品
202011,羊肉,69.09,畜禽产品
202011,白条鸡,15.94,畜禽产品
202011,鸡蛋,7.68,畜禽产品
202011,猪肉,39.52,畜禽产品
202012,牛肉,76.25,畜禽产品
202012,羊肉,72.17,畜禽产品
202012,白条鸡,16.19,畜禽产品
202012,鸡蛋,7.97,畜禽产品
202012,猪肉,43.33,畜禽产品
202101,牛肉,77.74,畜禽产品
202101,羊肉,75.64,畜禽产品
202101,白条鸡,16.69,畜禽产品
202101,鸡蛋,9.48,畜禽产品
202101,猪肉,46.71,畜禽产品
202102,牛肉,78.36,畜禽产品
202102,羊肉,75.98,畜禽产品
202102,白条鸡,17.84,畜禽产品
202102,鸡蛋,8.79,畜禽产品
202102,猪肉,43.38,畜禽产品
202103,牛肉,77.90,畜禽产品
202103,羊肉,77.42,畜禽产品
202103,白条鸡,17.77,畜禽产品
202103,鸡蛋,8.19,畜禽产品
202103,猪肉,37.44,畜禽产品
202104,牛肉,77.07,畜禽产品
202104,羊肉,77.29,畜禽产品
202104,白条鸡,17.20,畜禽产品
202104,鸡蛋,8.58,畜禽产品
202104,猪肉,32.27,畜禽产品
202105,牛肉,76.90,畜禽产品
202105,羊肉,76.48,畜禽产品
202105,白条鸡,17.11,畜禽产品
202105,鸡蛋,9.13,畜禽产品
202105,猪肉,27.95,畜禽产品
202106,牛肉,76.94,畜禽产品
202106,羊肉,74.82,畜禽产品
202106,白条鸡,16.96,畜禽产品
202106,鸡蛋,9.07,畜禽产品
202106,猪肉,23.45,畜禽产品
202107,牛肉,76.40,畜禽产品
202107,羊肉,72.45,畜禽产品
202107,白条鸡,16.63,畜禽产品
202107,鸡蛋,9.21,畜禽产品
202107,猪肉,22.27,畜禽产品
202108,牛肉,75.79,畜禽产品
202108,羊肉,70.70,畜禽产品
202108,白条鸡,16.59,畜禽产品
202108,鸡蛋,10.45,畜禽产品
202108,猪肉,21.41,畜禽产品
202109,牛肉,76.55,畜禽产品
202109,羊肉,70.46,畜禽产品
202109,白条鸡,16.91,畜禽产品
202109,鸡蛋,10.47,畜禽产品
202109,猪肉,19.94,畜禽产品
202110,牛肉,76.67,畜禽产品
202110,羊肉,70.24,畜禽产品
202110,白条鸡,16.88,畜禽产品
202110,鸡蛋,9.99,畜禽产品
202110,猪肉,19.51,畜禽产品
202111,牛肉,76.99,畜禽产品
202111,羊肉,70.59,畜禽产品
202111,白条鸡,16.92,畜禽产品
202111,鸡蛋,10.60,畜禽产品
202111,猪肉,23.98,畜禽产品
202112,牛肉,77.21,畜禽产品
202112,羊肉,71.56,畜禽产品
202112,白条鸡,17.38,畜禽产品
202112,鸡蛋,10.10,畜禽产品
